Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C18, C2, C5, C6, C7, C8",0805,9,22u,
C10,0805,1,22p,
C11,0805,1,NC,
"C12, C13, C16, C21, C3, C4",0805,6,100n,
"C17, C19, C20, C22, C23, C24",0805,6,10n,
C9,0805,1,1u,
"D2, D3, D4, D5",0805,4,LED,
D6,SOT-23-3,1,3v9,
J1,USB_A_Molex_67643_Horizontal,1,USB_A,
J2,Battery_pad,1,Batt_A,
J3,PinHeader_1x02_P2.54mm_Vertical,1,BATT_A,
J4,Battery_pad,1,VESC,
J5,Battery_pad,1,Batt_B,
J6,PinHeader_1x02_P2.54mm_Vertical,1,BATT_B,
J7,TerminalBlock_bornier-2_P5.08mm,1,P0,
J8,TerminalBlock_bornier-2_P5.08mm,1,P1,
J9,TerminalBlock_bornier-2_P5.08mm,1,JETSON,
L1,SRP12701R5M,1,1u5,
"Q1, Q2",IAUCN04S7L005,2,IAUCN04S7L005,
"R1, R13, R2, R4, R8",0805,5,150k,
"R10, R11, R5",0805,3,1k,
"R12, R7",0805,2,620k,
"R14, R6, R9",0805,3,300,
R3,0805,1,20k,
TP1,TestPoint_Pad_D1.0mm,1,Batt_sys,
TP2,TestPoint_Pad_D1.0mm,1,Vbus,
TP3,TestPoint_Pad_D1.0mm,1,Periph_sys,
TP4,TestPoint_Pad_D1.0mm,1,Jetson_sys,
U1,RJN_Package_12-Pin_VQFN-HR,1,TPS51386,
"U2, U3",SOT65P280X110-8N,2,LM74700QDDF,
"U4, U5",TPS259803ONRGER,2,TPS259803ONRGER,
