Designator,Mid X,Mid Y,Rotation,Layer
C1,167.0,-77.0,90.0,top
C10,156.087,-71.388,270.0,top
C11,161.0,-71.0,0.0,top
C12,135.191,-94.6565,90.0,top
C13,135.064,-109.9465,90.0,top
C14,158.5,-63.58,180.0,top
C15,129.544,-69.102,270.0,top
C16,165.866,-70.946,180.0,top
C17,169.041,-63.326,0.0,top
C18,129.29,-77.296,90.0,top
C19,173.425,-63.707,0.0,top
C2,165.0,-77.0,90.0,top
C20,173.425,-67.771,0.0,top
C21,128.721,-88.472,180.0,top
C22,132.846,-79.775,90.0,top
C23,134.878,-79.775,90.0,top
C24,135.894,-84.662,0.0,top
C3,163.0,-77.0,90.0,top
C4,156.087,-79.836,90.0,top
C5,156.849,-66.247,0.0,top
C6,156.849,-68.279,0.0,top
C7,135.386,-73.486,180.0,top
C8,135.386,-71.454,180.0,top
C9,158.119,-81.9625,270.0,top
D2,138.938,-126.572,90.0,top
D3,122.94,-127.5626,180.0,top
D4,122.94,-123.397,180.0,top
D5,122.94,-125.4798,180.0,top
D6,157.1375,-85.45,180.0,top
J1,147.054,-60.64,180.0,top
J2,127.952,-96.971,90.0,top
J3,137.169,-105.744,90.0,top
J4,153.293,-110.443,0.0,top
J5,127.952,-112.465,90.0,top
J6,140.275,-120.476,90.0,top
J7,161.0,-56.5,0.0,top
J8,124.0,-63.326,90.0,top
J9,123.956,-76.788,90.0,top
L1,146.5,-78.0,180.0,top
Q1,137.738,-100.273,90.0,top
Q2,137.913,-115.513,90.0,top
R1,161.0,-81.0,180.0,top
R10,124.464,-69.676,180.0,top
R11,123.956,-87.075,180.0,top
R12,136.783,-87.3525,90.0,top
R13,140.2355,-86.567,0.0,top
R14,135.9175,-82.63,0.0,top
R2,158.119,-71.4255,270.0,top
R3,161.5,-73.0,0.0,top
R4,160.151,-83.9,270.0,top
R5,139.827,-123.778,180.0,top
R6,135.386,-69.422,180.0,top
R7,173.867,-70.946,90.0,top
R8,175.899,-70.946,270.0,top
R9,173.425,-65.739,0.0,top
U1,159.418,-77.1,180.0,top
U2,137.985,-94.424,270.0,top
U3,137.944,-109.818,270.0,top
U4,167.898,-67.136,90.0,top
U5,130.905,-84.789,90.0,top
